start_date,end_date,mnde_mined
2021-10-07,2021-10-14,1912846
2021-10-15,2021-10-21,12412846
2021-10-22,2021-10-28,1912846
2021-10-29,2021-11-04,1989769
2021-11-05,2021-11-18,3979538
2021-11-19,2021-12-02,4299884
2021-12-03,2021-12-16,4268000
2021-12-17,2021-12-30,3857488
2022-01-07,2022-01-14,2726390
2022-01-28,2022-02-10,2642568
2022-02-11,2022-02-24,2590952
2022-02-25,2022-03-10,2608158
2022-03-11,2022-03-24,2543390
2022-03-25,2022-04-07,2560593
2022-04-08,2022-04-21,2427003
2022-04-22,2022-05-05,2170946
2022-05-06,2022-05-19,1996869
2022-05-20,2022-06-02,2018127
2022-06-03,2022-06-16,2018127
2022-06-17,2022-06-30,1895662
2022-07-01,2022-07-14,1912866